"","wage","hours","IQ","KWW","educ","exper","tenure","age","married","black","south","urban","sibs","brthord","meduc","feduc","NA"
"1",769,40,93,35,12,11,2,31,1,0,0,1,1,"2","8","8",6.645091
"2",808,50,119,41,18,11,16,37,1,0,0,1,1,".","14","14",6.694562
"3",825,40,108,46,14,11,9,33,1,0,0,1,1,"2","14","14",6.715384
"4",650,40,96,32,12,13,7,32,1,0,0,1,4,"3","12","12",6.476973
"5",562,40,74,27,11,14,5,34,1,0,0,1,10,"6","6","11",6.331502
"6",1400,40,116,43,16,14,2,35,1,1,0,1,1,"2","8",".",7.244227
"7",600,40,91,24,10,13,0,30,0,0,0,1,1,"2","8","8",6.39693
"8",1081,40,114,50,18,8,14,38,1,0,0,1,2,"3","8",".",6.985642
"9",1154,45,111,37,15,13,1,36,1,0,0,0,2,"3","14","5",7.05099
"10",1000,40,95,44,12,16,16,36,1,0,0,1,1,"1","12","11",6.907755
"11",930,43,132,44,18,8,13,38,1,0,0,0,1,"1","13","14",6.835185
"12",921,38,102,45,14,9,11,33,1,0,0,0,1,"2","16",".",6.82546
"13",900,45,125,40,15,4,3,30,0,0,0,0,2,".","12","12",6.802395
"14",1318,38,119,24,16,7,2,28,1,0,0,1,3,"1","10","10",7.183871
"15",1792,40,118,47,16,9,9,34,1,0,0,1,1,"1","12","12",7.491087
"16",958,50,105,37,10,17,2,35,1,0,0,1,1,"2","6","8",6.864848
"17",1360,45,109,39,15,6,9,36,1,0,0,1,3,"3","12","10",7.21524
"18",850,40,72,36,11,19,10,38,1,0,0,1,2,"3","10","8",6.745236
"19",830,44,105,29,14,4,7,29,1,0,0,1,3,"1","12",".",6.721426
"20",471,44,101,34,12,13,7,31,1,0,0,1,3,"2","8",".",6.154858
"21",1275,40,123,37,14,9,1,31,1,0,0,1,0,"1","12",".",7.150702
"22",1615,50,113,49,16,10,4,36,1,0,0,1,2,"1","12","12",7.38709
"23",873,65,95,36,12,14,3,38,1,0,0,1,5,"1","10","10",6.771935
"24",2137,45,145,50,16,17,8,38,1,0,0,1,2,"1","12","12",7.667158
"25",1053,38,114,35,16,12,7,32,1,0,0,1,0,"1","11","11",6.959399
"26",1602,60,124,32,16,8,9,29,1,0,0,1,3,"1","16","16",7.379008
"27",1188,40,93,40,13,16,5,35,1,0,0,1,2,"1","12","8",7.080027
"28",800,40,115,39,18,11,1,35,1,0,1,1,0,"1","8","8",6.684612
"29",1417,48,125,41,17,9,4,34,1,0,0,1,3,"1","13","12",7.256297
"30",635,40,128,35,18,8,13,36,0,0,0,1,2,"1","16","16",6.453625
"31",1000,40,103,40,12,17,2,34,1,0,0,1,1,"1","8",".",6.907755
"32",1424,50,98,41,14,15,4,35,1,0,0,1,1,"1","12","12",7.261225
"33",2668,75,108,41,13,12,2,32,1,0,1,1,1,"2","12","12",7.889084
"34",666,75,129,40,18,8,12,38,1,0,0,0,2,"1","18","18",6.50129
"35",1779,40,132,42,17,8,9,32,1,0,0,1,1,"1","17","14",7.483807
"36",782,40,92,24,13,9,10,31,1,0,0,1,3,"3","8",".",6.661855
"37",1572,35,108,39,14,7,5,28,1,1,0,1,1,".","12","8",7.360104
"38",1274,40,106,35,13,11,12,31,1,0,0,1,0,"1","15","12",7.149917
"39",714,35,105,37,16,9,2,29,1,0,0,1,1,"2","13","12",6.570883
"40",1081,40,123,46,18,11,7,36,1,0,0,0,1,"1","12","12",6.985642
"41",692,40,108,48,12,21,11,38,1,0,0,1,3,"1","8","7",6.539586
